subject,predicate,object
Anil,reported_by,traffic_event_0
ZEE २४ तास,reported_by,traffic_event_1
Viraj Damle ,reported_by,traffic_event_2
Nancy D,reported_by,traffic_event_3
Gourab Basu,reported_by,traffic_event_4
traffic_event_5,occurred_on,110058
traffic_event_5,severity,minor
Thakur Foundation,reported_by,traffic_event_5
Thakur Foundation,reported_by,traffic_event_6
Thakur Foundation,reported_by,traffic_event_29
traffic_event_6,occurred_on,110021
traffic_event_6,severity,minor
traffic_event_8,occurred_on,2025
traffic_event_8,handled_by,Mumbai & Pune
traffic_event_8,handled_by,the Worst Traffic
Bharat Observers,reported_by,traffic_event_8
Sheriff Rango ,reported_by,traffic_event_9
traffic_event_10,handled_by,Silicon Traffic Jam
silicon valley,has_issue,traffic_event_10
silicon valley,has_issue,traffic_event_24
silicon valley,has_issue,traffic_event_26
silicon valley,has_issue,traffic_event_34
silicon valley,has_issue,traffic_event_50
Let's Deinfluence,reported_by,traffic_event_10
traffic_event_11,handled_by,Non KA
Melvin Louis,reported_by,traffic_event_11
shailendra kumar,reported_by,traffic_event_12
National Herald,reported_by,traffic_event_13
traffic_event_14,occurred_on,three months
traffic_event_14,handled_by,Congress
Vishal Sahu,reported_by,traffic_event_14
Mathrubhumi English,reported_by,traffic_event_15
Deccan Herald,reported_by,traffic_event_16
traffic_event_17,severity,major
shwetank singh,reported_by,traffic_event_17
traffic_event_18,handled_by,Metra Infosys Technology
traffic_event_18,handled_by,DigitalIndia
ITS India Forum,reported_by,traffic_event_18
traffic_event_19,handled_by,Karnataka Eyes Congestion Tax
Rahul Yadav,reported_by,traffic_event_19
Prathap Reddy T,reported_by,traffic_event_20
Grok,reported_by,traffic_event_21
Grok,reported_by,traffic_event_23
Grok,reported_by,traffic_event_24
Grok,reported_by,traffic_event_33
Grok,reported_by,traffic_event_43
Grok,reported_by,traffic_event_46
Grok,reported_by,traffic_event_70
Grok,reported_by,traffic_event_74
Grok,reported_by,traffic_event_89
traffic_event_22,occurred_on,3 months
traffic_event_22,handled_by,Congestion Tax
traffic_event_22,handled_by,CongestionTax
RJ ARYAN,reported_by,traffic_event_22
traffic_event_23,handled_by,NYC
traffic_event_25,handled_by,Drain
Frustrated Urban commuters,reported_by,traffic_event_25
Karnataka Portfolio,reported_by,traffic_event_26
traffic_event_27,handled_by,CM
traffic_event_27,handled_by,Guwahati
traffic_event_27,severity,minor
northeast india,has_issue,traffic_event_27
Jayanta Mallabaruah,reported_by,traffic_event_27
